,person,year,labinc,wt,age,hours,male,married,pp
66433,3509,1998,44148.19,720751,36,2080,1,1,1
66435,8356,2006,37868.3,112988,44,2340,1,0,1
66442,1718,1988,55314.14,174155,28,2080,1,0,1
66446,6640,1989,43987.51,89682,30,2220,1,1,1
66448,9846,1987,6717.885,100951,28,920,1,1,1
66454,11221,2000,56991.15,241949,41,2080,1,0,1
66457,2090,1996,27805.53,543339,32,2340,1,1,1
66460,8964,2014,62092.91,162758,50,2325,1,1,1
66462,12205,2012,31344.22,493794,54,2080,1,0,1
66467,7472,1989,49266.01,210002,28,2080,1,1,1
66470,8356,1998,10702.59,115069,36,2080,1,0,1
66475,7953,1993,37735.94,47373,31,2080,1,0,1
66476,5323,1996,20854.15,637569,35,2080,1,0,1
66478,8503,2004,18470.45,151954,42,1620,0,0,1
66480,9538,1993,11622.67,100251,30,2080,1,0,1
66482,5857,1991,59256.74,93195,31,2785,1,0,1
66483,7210,1993,46792.57,141899,36,2080,1,1,1
66485,12112,1998,33445.6,475129,36,2929,1,0,1
66490,11908,1987,46065.5,624917,26,2165,1,1,1
66493,1338,2014,33165.35,676924,54,2340,1,0,1
66496,7001,1990,24201.37,118038,32,2080,1,1,1
66501,10235,1991,44842.94,74418,28,2080,1,0,1
66506,4708,1990,13916.53,516153,27,1662,0,1,1
66511,669,1994,33103.12,610804,33,2310,1,1,1
66512,443,1993,25660.44,582697,31,2105,1,1,1
66518,4736,2010,32000.0,665954,46,2080,1,0,1
66520,3509,1993,37735.94,682511,32,2406,1,1,1
66523,5665,1988,33188.48,771933,31,3200,1,1,1
66525,3554,2014,53433.07,907746,50,2080,0,0,1
66526,3700,1990,30877.6,140486,33,2080,1,0,1
66546,1582,1990,80114.87,733449,32,2600,1,1,1
66548,8587,1991,23318.33,85537,31,2080,1,0,1
66549,5561,1991,12812.27,718534,26,1250,0,0,1
66555,10412,2000,23429.7,104673,36,1750,1,1,1
66556,4369,1990,16690.6,596472,30,1800,1,0,1
66559,12122,1988,47938.92,667853,31,2960,1,1,1
66564,7211,2000,60790.56,165015,36,2080,0,0,1
66565,3509,1990,42290.63,681240,28,2340,1,1,1
66570,8282,2010,36000.0,178018,51,2912,1,0,1
66572,1672,1990,25035.89,646412,27,890,1,0,1
66573,12205,1988,25813.27,373668,29,2080,1,0,1
66575,3575,1985,48641.49,648566,27,2080,1,1,1
66578,5362,1987,24952.14,469389,26,1960,1,1,1
66580,2671,2000,15197.64,114551,39,2080,1,1,1
66585,3852,1998,26756.48,538469,33,2456,1,0,1
66589,483,1998,53512.96,791254,41,2860,1,1,1
66596,284,1998,70904.66,109178,38,3120,1,0,1
66597,8964,1991,41639.87,132696,27,2080,1,1,1
66598,10232,1989,63342.01,79519,28,2080,1,1,1
66603,5665,1987,23032.75,781859,30,2478,1,0,1
66605,4936,2000,21340.02,664701,41,2080,1,1,1
66608,4269,1994,29425.0,124021,34,2080,1,1,1
