"person","year","labinc","wt","age","hours","male","married","pp"
3748,1984,6273.727,659232,25,775,1,0,0
8687,1984,19303.78,193290,25,2339,1,1,0
6521,1984,20908.93,89112,25,2080,0,0,0
4817,1984,12589.42,534784,27,1620,0,1,0
10271,1984,14687.65,86795,25,792,0,0,0
4857,1984,10491.18,615080,26,1249,1,0,0
4606,1984,9022.416,801048,25,1120,1,0,0
5887,1984,33571.78,287958,25,1090,0,1,0
8,1984,20982.36,155352,25,2417,0,1,0
4612,1984,25178.84,638021,25,1696,1,0,0
1607,1984,16785.89,557923,26,1440,0,1,0
6430,1984,20564.81,183005,26,1280,1,0,0
5754,1984,36719.14,87296,26,2080,1,1,0
4607,1984,10491.18,831757,25,1060,1,0,0
4590,1984,23080.6,542098,25,2117,0,0,0
7299,1984,6349.263,205321,25,1000,1,0,0
5045,1984,14341.45,105639,26,1568,0,1,1
5935,1984,32312.84,187851,25,1797,1,1,0
1610,1984,11091.28,623934,25,1590,0,1,0
12578,1984,76740.9,62020,26,2080,1,1,0
330,1984,15317.13,132124,25,1692,1,1,0
3077,1984,20982.36,302620,26,964,1,0,0
1057,1984,11330.48,274707,26,1668,0,0,0
4559,1984,29375.31,767591,26,2536,1,1,0
6239,1984,20982.36,312210,26,2080,0,0,0
10435,1984,39866.49,198258,27,2104,1,0,0
8857,1984,20982.36,101657,25,1804,1,0,0
9890,1984,37768.25,155735,27,2279,1,1,0
7926,1984,37768.25,104053,27,2080,1,1,0
10316,1984,29375.31,82109,25,3370,1,0,0
12261,1984,23080.6,218302,25,2720,1,0,0
12544,1984,13638.54,402497,27,2080,0,1,1
8292,1984,11424.9,118189,25,1040,1,0,0
4520,1984,41964.73,646735,26,2420,1,1,1
3420,1984,20982.36,649832,25,1920,1,0,1
3645,1984,10491.18,637543,25,864,1,1,0
6154,1984,20982.36,184025,26,2080,0,0,0
9701,1984,29375.31,93074,25,2525,1,0,0
8013,1984,25178.84,99468,25,2091,0,0,0
12087,1984,5875.062,129826,26,1800,0,0,0
6940,1984,40915.61,93337,26,1768,0,0,1
377,1984,14687.65,158296,25,2600,1,0,0
2543,1984,6294.709,505959,25,1515,0,0,0
8922,1984,31473.55,128568,25,2080,1,0,0
