,person,year,labinc,wt,age,hours,male,married,pp
50213,361,1988,60845.55,641558,30,2415,1,1,0
50214,2295,1984,29375.31,664615,25,1967,0,0,0
50216,9899,1988,27657.07,103461,30,2128,0,0,0
50218,7389,2000,18997.05,200882,42,2236,0,0,0
50220,153,1990,28374.01,492767,27,1222,0,1,0
50221,7809,1987,32629.73,185566,26,2080,0,0,0
50222,1036,2004,18470.45,604054,42,2236,0,0,0
50223,1757,1984,27277.07,177111,26,1406,0,0,0
50224,3625,1990,22677.51,597600,26,2080,0,0,0
50225,3181,1984,17625.19,601265,26,720,1,0,0
50226,2598,1994,23540.0,524475,29,1999,1,0,0
50227,6923,1990,21697.78,93359,29,2080,0,1,0
50228,4337,2014,32244.09,885917,55,2080,0,1,0
50229,4021,1992,24091.13,171353,27,2120,0,0,0
50232,1008,1985,28374.2,674643,26,2080,0,1,0
50233,10363,1990,45064.61,138253,27,2080,1,0,0
50235,3617,1998,56188.61,724972,39,2080,1,1,0
50236,10360,1992,37302.39,132891,33,1543,0,1,0
50237,7207,1991,25624.54,161134,31,1933,0,1,0
50239,2270,1988,29500.88,172427,29,2148,0,0,0
50240,2175,1988,27657.07,591984,30,2080,0,1,0
50242,11862,1984,22736.49,579262,25,2080,0,0,0
50243,2270,1991,26425.3,172427,32,1960,0,0,0
50248,3166,1988,36876.09,500314,26,2080,1,0,0
50250,7002,1996,25998.17,137456,35,1976,0,0,0
50251,4005,2000,36727.63,234196,41,2255,0,0,0
50252,10360,1994,36781.25,135534,35,2299,0,1,0
50253,4308,1993,27169.88,481081,29,2000,0,1,0
50254,9676,1984,11724.95,126146,25,1360,0,1,0
50257,1359,1986,47713.82,636595,28,1976,0,1,0
50258,12262,1989,47713.82,223955,30,2080,1,0,0
50259,1354,1985,32427.66,714724,28,2080,1,0,0
50260,1720,1987,38387.91,166301,26,2165,0,1,0
50262,3785,1990,42196.11,440742,29,2860,0,1,0
50263,1163,2012,5622.964,823284,53,680,0,1,0
50264,4533,1998,33445.6,212163,33,936,0,1,0
50266,3906,1998,33445.6,548337,36,2456,0,1,0
50267,1986,1993,33358.57,492503,30,2190,0,0,0
50270,3413,2006,38950.26,803992,48,2080,0,1,0
50271,8028,1988,5531.414000000001,180282,30,1260,0,0,0
50273,7428,1991,24983.92,146590,27,1967,0,1,0
50275,5720,1993,23094.39,300378,33,2080,0,1,0
50276,9264,1993,33509.52,104342,32,1976,0,0,0
50277,770,1987,15355.17,635012,25,1862,0,0,0
50278,6758,1991,60858.27,268874,34,2080,0,0,0
50279,8311,1990,15021.54,105076,31,1017,0,1,0
50280,7820,1998,26756.48,172007,34,2080,0,0,0
50281,6248,1987,38387.91,256811,25,840,1,0,0
50282,6,1991,40038.34,687653,30,2080,1,1,0
50283,10360,1988,42407.51,140870,29,2968,0,1,0
50287,7389,1996,6951.382,191070,38,624,0,0,0
50288,1511,1987,22456.93,687602,26,2080,0,0,0
50289,368,1984,18884.13,204150,25,1960,0,0,0
50292,3068,1986,13916.53,167178,28,1160,0,0,0
50297,2235,1991,48046.0,501958,31,2310,0,1,0
50299,2215,1994,27953.75,500984,33,2080,0,1,0
50301,8637,1984,15986.46,58941,25,2080,0,0,0
50303,4568,2000,34194.69,859789,40,2080,1,0,0
50304,9861,1990,18359.66,87746,33,1840,0,1,0
