,person,year,labinc,wt,age,hours,male,married,pp
44895,1520,1988,36876.09,365433,31,2481,1,1,0
44896,4007,1992,18651.2,220406,32,1284,0,0,0
44897,2011,1992,18651.2,465303,32,1775,0,0,0
44898,3232,1996,39761.91,698254,39,2080,1,1,0
44899,1902,1994,40606.5,568637,30,2080,0,1,0
44900,2258,1994,14418.25,192102,31,2080,1,0,0
44901,7162,1993,34717.06,396286,33,2080,1,0,0
44902,9102,2006,67081.0,113274,43,2080,1,0,0
44903,7122,1991,15461.2,170378,31,2080,1,0,0
44904,720,2010,23000.0,705514,49,2080,0,0,0
44905,5527,1988,16594.24,539140,28,2156,1,0,0
44906,9757,1993,18113.25,160492,31,1920,0,0,0
44907,9574,1990,30043.07,87116,30,2080,0,1,1
44908,658,1996,61172.17,725432,38,2600,1,0,0
44909,10455,2012,23745.62,111705,51,2236,1,1,1
44910,4151,2006,12983.42,779814,48,1115,0,1,0
44911,9195,1993,58868.07,138697,34,2960,0,0,0
44912,3391,1987,15355.17,231822,28,1966,1,0,0
44913,70,1993,37735.94,673729,32,1900,1,0,1
44914,7377,2000,27862.34,242427,43,1248,0,0,0
44915,5717,1991,24023.0,556241,27,2080,0,1,0
44916,4015,2010,22000.0,153430,47,2080,0,1,1
44917,2976,1992,51290.79,461650,28,2360,1,1,0
44918,2258,1990,15021.54,187807,27,2208,1,0,0
44919,10543,1996,34756.91,75547,32,2080,0,1,1
44920,5291,2000,49392.33,515310,37,2496,1,1,0
44921,2598,2006,15147.32,621378,41,2080,1,1,0
44922,3540,2012,31819.14,193566,51,2080,1,0,0
44923,5265,1987,55662.48,113903,28,2000,0,1,0
44924,5263,1990,28374.01,151702,33,2080,1,1,0
44925,5529,1989,36597.61,549372,29,2080,1,1,0
44926,9333,2012,51290.55,197649,53,2080,0,0,1
44927,3563,1989,45891.29,146246,29,2232,1,1,1
44928,2098,1988,22125.66,509373,27,2080,0,1,0
44929,3739,2004,16161.64,601084,44,1029,0,1,0
44930,2354,1985,16213.83,184198,25,2266,1,0,0
44931,9905,1991,51249.07,93147,30,2080,1,0,0
44932,6388,1988,6453.316,273901,31,2040,1,1,0
44933,466,1988,20281.85,779407,31,2170,1,1,0
44934,2153,2000,10131.76,570659,38,1436,0,0,0
44935,4857,1985,10133.64,603996,27,1729,1,1,0
44936,2163,1994,44137.49,726181,36,1248,1,1,0
44937,1894,1996,20242.43,538542,34,1920,1,0,0
44938,3594,2012,37993.0,719636,53,1800,0,1,0
44939,2074,1990,50071.79,558925,28,2080,0,1,1
44940,6975,1984,25378.17,74240,25,2080,1,0,0
44941,6200,2004,9235.226,393634,47,1480,1,1,1
44942,521,2012,56989.5,225247,52,3369,1,0,0
44943,9068,1988,18069.29,84086,26,2912,1,0,1
44944,4500,2012,30394.4,537077,50,1820,1,1,1
44945,7649,1990,51740.85,130792,32,2080,0,0,1
44946,4500,2010,35000.0,527311,47,1820,1,1,1
44947,4500,2008,26421.91,515101,46,1820,1,1,0
44948,8441,1986,13916.53,361097,29,1588,1,0,1
44949,4374,2000,35461.16,178743,39,3328,1,0,1
44950,5207,1986,35461.16,649002,27,1080,1,0,0
44951,7171,2000,35461.16,111379,39,1260,0,0,0
44952,2794,1988,27837.76,158471,26,2080,1,0,0
44953,10037,1988,19175.57,63974,26,2080,0,1,0
44954,12125,1989,21114.0,146309,27,1800,1,0,0
44955,5161,1988,42407.51,460540,26,1820,1,0,1
44956,11797,2000,18997.05,332344,36,1160,0,0,0
44957,4925,1993,52830.32,492485,32,2400,0,1,1
44958,2951,1989,24633.01,172146,29,2040,1,0,1
44959,5161,1994,41194.99,478253,32,1880,1,1,1
44960,6242,1985,6080.186,277684,26,1000,1,0,0
44961,4500,2014,27932.6,552299,52,1768,1,1,1
44962,4810,2012,57939.32,640384,54,1760,0,1,0
44963,4791,1993,37735.94,630589,36,2890,1,1,0
44964,9080,2014,37735.94,127682,55,1976,0,0,1
44965,9536,1992,40410.93,162022,35,1520,0,0,0
44966,3840,1986,18886.72,157973,27,1976,1,0,0
44967,7926,1994,26482.5,117847,37,2080,1,1,0
44968,4034,1986,24652.14,557822,25,2120,0,1,1
44969,2249,1990,25035.89,558910,26,2080,0,1,0
44970,2326,1986,35785.36,547265,25,2080,1,0,1
44971,4140,1991,52850.61,608289,31,2080,0,0,0
44972,87,1991,11210.73,181312,28,1760,1,0,1
44973,5524,1984,20982.36,580820,26,1920,0,1,1
44974,4033,1990,34646.34,611470,31,2050,0,1,0
44975,5731,1993,27471.76,71019,33,2096,1,1,0
44976,3660,1993,12075.5,469875,29,1945,1,1,0
44977,6197,1987,32629.73,190127,29,2010,0,0,0
44978,5221,1993,34717.06,146209,36,2498,1,1,0
44979,5264,1984,8392.945,123159,26,816,0,1,0
44980,4777,2008,24314.64,495225,47,1840,0,1,0
44981,6478,1994,10298.75,100348,32,2080,1,0,0
44982,5265,1996,50049.95,680351,37,2080,0,1,0
44983,11770,2000,49392.33,773569,38,2080,1,1,0
44984,8980,1986,25844.98,164690,26,2809,1,0,0
44985,2998,2008,44576.84,597828,46,2704,1,1,1
44986,7391,1989,43107.76,211799,31,2318,0,1,0
44987,5264,1986,39761.52,125392,28,2080,0,1,0
44988,3953,1996,61172.17,168798,36,2080,0,1,0
44989,3257,1992,31085.33,586054,29,2490,1,0,1
44990,9265,1996,80636.04,124764,34,2080,1,0,1
44991,9021,1991,24023.0,137735,27,1200,0,0,0
44992,4866,1984,43643.32,589452,26,2122,1,1,0
44993,6762,1993,21584.96,169400,30,2080,1,0,0
44994,7379,1992,38856.66,195597,31,2080,1,1,1
44995,5842,1996,62562.44,130122,34,2600,1,1,0
44996,5676,1990,5724.875,175813,31,758,0,0,1
44997,7712,1987,28215.12,93475,26,1954,1,1,0
44998,5607,1993,30188.75,523363,29,2080,1,1,0
44999,7649,1993,49811.44,127602,35,2080,0,1,1
45000,11770,1993,48302.0,665448,31,2080,1,0,1
45001,7884,1998,21940.31,157507,34,2115,1,0,1
45002,7383,1996,25024.98,172547,33,2700,0,0,1
45003,4731,1985,26906.85,638454,25,1840,1,1,0
45004,1483,2000,16464.11,205022,36,2340,0,0,0
45005,3277,1993,16464.11,789278,35,2080,1,1,0
45006,7566,2000,6332.35,221890,38,600,1,1,1
45007,4879,2010,36350.0,772342,52,2184,1,0,1
45008,850,1989,26392.51,721192,27,2140,1,1,0
45009,9561,1994,17655.0,137601,37,2488,1,0,0
45010,2440,1998,27425.39,526628,34,2080,1,0,0
45011,9846,1996,63952.72,108880,37,2420,1,1,0
45012,977,1992,34193.86,517781,28,2080,1,1,0
45013,8658,1990,26704.96,98203,28,2080,0,1,0
45014,5842,1987,34549.13,120366,25,1870,1,1,0
45015,437,2000,16464.11,770027,42,1872,0,1,0
45016,2773,1993,36226.5,144851,31,3201,1,1,0
45017,2258,1993,11320.78,185918,30,2344,1,0,0
45018,8432,1990,26704.96,214317,27,2080,0,1,1
45019,3199,2010,30000.0,754438,48,2080,0,0,1
45020,10505,1994,36781.25,66883,33,2756,1,1,0
45021,6908,1990,50071.79,290053,28,2080,1,1,0
45022,1073,1984,8392.945,228286,26,1215,0,0,0
45023,4049,1993,18113.25,554339,33,2014,0,0,0
45024,10160,2000,22796.46,94338,40,2670,1,1,0
45025,3261,1987,5566.2480000000005,150488,26,2124,1,0,0
45026,3054,1996,17593.95,648024,36,1980,0,0,0
45027,3556,1994,11770.0,557589,34,1300,0,1,0
45028,1340,1993,11770.0,660586,36,2172,1,1,0
45029,8872,1987,18579.75,107143,25,2080,1,1,0
45030,8307,1993,31698.19,142700,30,2835,1,1,0
45031,6908,1996,58391.61,306529,34,2080,1,1,1
45032,3978,1994,22804.37,230953,30,2080,0,0,0
45033,3200,1985,14592.45,735903,26,1800,1,0,0
45034,7297,1990,53409.91,204319,30,2496,1,0,0
45035,10425,1998,53512.96,169290,38,2080,1,1,1
45036,6136,1991,28827.6,102989,28,2040,1,0,1
45037,4750,1989,36949.51,631178,28,2920,1,1,0
45038,11947,1990,23834.17,162008,28,3003,1,1,1
45039,4904,1990,26704.96,405158,27,2080,1,1,1
45040,3861,2012,60788.8,601852,49,3120,1,1,1
45041,7124,1993,27169.88,204492,35,1960,0,1,0
45042,2193,2006,41546.94,543779,45,2080,0,1,0
