,person,year,PPamount,labinc,wt,famsize,educ,hours,married
624,7707,1992,14247.37433,40410.93,99933,1,15.0,2600,0
625,17,2000,14247.37433,60790.56,1149781,2,13.0,3185,0
626,5676,2000,14247.37433,11398.23,185870,1,17.0,1620,0
627,10182,1994,14247.37433,30896.25,131913,3,12.0,2362,0
628,2288,1992,14247.37433,37302.39,599749,2,16.0,2715,1
629,3214,1993,14247.37433,47698.23,592148,2,12.0,2860,1
630,5711,1994,14247.37433,33838.75,494464,2,12.0,2080,1
631,4874,2002,14247.37433,54559.32,585173,3,18.0,2600,0
632,4871,1993,14247.37433,46792.57,443212,4,16.0,2100,1
633,2032,1996,14247.37433,34756.91,591434,3,12.0,2496,1
634,891,1994,14247.37433,70472.87,649830,1,12.0,2320,0
635,5824,1993,14247.37433,31698.19,232753,4,12.0,2600,1
636,3534,1990,14247.37433,78445.8,128732,2,16.0,3081,1
637,2872,2006,324585.4706,302747.4,661354,2,14.0,3120,1
638,710,1984,324585.4706,25178.84,634668,1,16.0,2480,0
639,9570,2000,324585.4706,68389.38,111940,2,12.0,3120,1
640,4842,2002,324585.4706,10612.39,579021,2,18.0,745,0
641,4842,1994,324585.4706,11770.0,494200,6,12.0,1240,0
642,4088,2004,324585.4706,306993.9,983345,4,13.0,2080,1
643,4398,1987,324585.4706,34549.13,233454,3,11.0,3120,1
644,6094,2008,5065.550587,42550.63,329030,4,14.0,2340,0
645,526,2004,5065.550587,306993.9,901952,2,12.0,4420,1
646,5660,2004,11544.03169,92352.25,725900,3,12.0,2600,1
647,1368,2006,11544.03169,42196.11,671032,2,16.0,2600,1
648,2325,1993,11544.03169,75471.88,531766,3,16.0,2080,1
649,739,1986,11544.03169,26008.01,682100,3,12.0,2286,0
650,4830,2014,11544.03169,138189.0,637088,5,16.0,2985,1
651,4830,2012,189964.991,326578.3,636169,5,16.0,2080,1
652,12095,1988,189964.991,326578.3,578813,3,14.0,2850,1
653,6062,1991,189964.991,31870.52,199402,4,14.0,2988,1
654,3085,2002,189964.991,26067.23,583135,3,16.0,1404,1
655,4822,2000,189964.991,25329.4,613183,2,12.0,2080,1
656,1315,1994,189964.991,82389.98,533878,4,15.0,3120,1
657,2833,1990,189964.991,36719.31,804431,4,12.0,2080,1
658,7679,2002,4849.716864,42435.02,191166,3,13.0,2340,1
659,4816,2010,25000.0,312324.0,582221,4,18.0,2340,1
660,246,1994,25000.0,58849.99,637316,3,17.0,3755,1
661,6110,1988,25000.0,105325.5,193798,1,16.0,2755,0
662,3505,1988,25000.0,53470.34,597439,1,12.0,3228,0
663,4244,2010,25000.0,312324.0,684116,5,18.0,3840,1
664,3258,1987,25000.0,30710.33,1026866,4,13.0,2229,1
665,279,1993,25000.0,52830.32,492272,1,12.0,2600,0
666,502,1990,25000.0,60086.15,585089,3,12.0,2108,1
667,807,2002,25000.0,81232.76,627837,5,16.0,2600,1
668,8670,1989,25000.0,35190.01,102066,1,16.0,2496,0
669,871,2014,25000.0,115157.5,954523,3,12.0,2600,1
670,3861,1993,25000.0,39245.38,499270,3,16.0,2080,0
671,4799,2002,25000.0,37585.3,651369,1,18.0,2080,0
672,4569,1998,25000.0,69566.84,485702,4,12.0,2496,1
