,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
4898,3886,2008,11346.83,607444.0,6.0,17.0,44.0,2340.0,1.0,1.0,1.0,0.0,1.0
4899,4014,2000,44326.45,665330.0,4.0,12.0,36.0,3180.0,1.0,1.0,1.0,0.0,0.0
4900,8469,2008,76996.37,201181.0,5.0,16.0,44.0,2600.0,1.0,1.0,0.0,0.0,1.0
4901,9634,1989,29383.66,123893.0,2.0,14.0,29.0,2080.0,0.0,0.0,0.0,1.0,1.0
4902,8089,1988,48676.45,129907.0,2.0,13.0,29.0,2080.0,1.0,1.0,1.0,0.0,0.0
4903,12338,1990,27539.48,100435.0,2.0,15.0,26.0,1780.0,1.0,1.0,1.0,0.0,1.0
4904,3765,2010,68000.0,723030.0,2.0,12.0,46.0,2756.0,1.0,1.0,1.0,0.0,0.0
4905,6738,2004,46176.13,104996.0,6.0,12.0,43.0,2184.0,0.0,1.0,0.0,0.0,1.0
4906,9422,1990,60086.15,75225.0,2.0,12.0,30.0,2328.0,1.0,1.0,0.0,1.0,0.0
4907,2306,1987,19193.96,525840.0,3.0,9.0,25.0,1920.0,1.0,1.0,1.0,0.0,0.0
4908,6954,1998,50837.31,302462.0,4.0,14.0,39.0,2090.0,1.0,1.0,0.0,0.0,0.0
4909,218,1987,113987.2,773848.0,2.0,16.0,29.0,2080.0,1.0,1.0,1.0,0.0,1.0
4910,3474,2000,135512.3,525797.0,6.0,12.0,38.0,2080.0,1.0,1.0,1.0,0.0,0.0
4911,2577,1992,26111.68,439050.0,3.0,12.0,31.0,2080.0,0.0,0.0,1.0,0.0,0.0
4912,8273,1987,42226.71,347910.0,3.0,12.0,29.0,2080.0,0.0,0.0,0.0,0.0,0.0
4913,2087,2008,45589.96,602040.0,3.0,12.0,47.0,2756.0,1.0,1.0,1.0,0.0,0.0
4914,296,1991,60858.27,602411.0,4.0,12.0,28.0,2675.0,1.0,1.0,1.0,0.0,1.0
4915,9424,1990,63424.27,79593.0,4.0,13.0,31.0,2327.0,1.0,1.0,0.0,0.0,1.0
4916,4889,1988,27657.07,615480.0,2.0,14.0,31.0,2770.0,1.0,1.0,1.0,0.0,1.0
4917,2915,2002,77595.47,1098668.0,2.0,20.0,44.0,1370.0,1.0,1.0,1.0,0.0,1.0
4918,6159,1988,51626.53,169428.0,3.0,15.0,25.0,2500.0,0.0,1.0,0.0,1.0,0.0
4919,9890,2002,78807.9,203292.0,6.0,16.0,45.0,2080.0,1.0,1.0,0.0,0.0,0.0
4920,9634,1990,31712.13,138313.0,2.0,14.0,30.0,2080.0,0.0,0.0,0.0,1.0,0.0
4921,6430,1990,46733.67,192112.0,5.0,11.0,32.0,2552.0,1.0,0.0,0.0,1.0,0.0
4922,489,2000,98784.66,751220.0,5.0,14.0,39.0,2600.0,1.0,1.0,1.0,0.0,0.0
4923,1017,2012,61738.62,651590.0,2.0,16.0,51.0,2080.0,0.0,0.0,1.0,0.0,1.0
4924,11765,2012,14247.37,269047.0,3.0,12.0,48.0,880.0,0.0,1.0,0.0,1.0,0.0
4925,778,1992,49736.52,814115.0,2.0,16.0,28.0,2510.0,1.0,0.0,1.0,0.0,0.0
4926,3600,1994,76504.99,700268.0,6.0,12.0,35.0,2676.0,1.0,1.0,1.0,0.0,0.0
