person,year,PPamount,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black
3534,1989,,82696.52,124470,2,16,30,3142,1,1,0,0
3196,1996,,75074.93,813306,1,12,37,2860,1,0,1,0
259,1996,,22939.56,717502,1,12,37,2748,1,1,1,0
4027,1988,,23969.46,612436,2,13,28,2380,0,1,1,0
3762,1996,,41708.3,534510,1,12,34,3380,1,0,1,0
4592,2006,,51933.68,538056,3,17,44,2600,0,0,1,0
1513,1989,,24633.01,757252,1,12,27,1152,1,0,1,0
259,2000,,32294.99,772836,3,12,41,2807,1,1,1,0
6738,1989,,56304.01,90390,3,12,27,3120,0,0,0,0
6544,1988,,61767.46,117846,5,16,29,2844,1,1,1,0
120,2000,,75988.2,603978,1,16,38,3120,1,0,1,0
3914,1994,,51493.74,535636,2,12,32,4274,0,1,1,0
3471,2002,,36372.88,551195,5,12,40,3120,1,1,1,0
3897,1998,,116390.7,503823,1,17,37,2340,0,0,1,0
2438,1988,,44251.31,542387,4,17,26,2950,1,1,1,0
2360,2012,2849.474866,37993,158097,1,17,51,2600,0,0,0,1
2438,1991,,73670.54,547804,5,17,29,2884,1,1,1,0
12436,1990,,67596.91,68758,3,12,29,2928,1,1,1,0
8908,1985,,28374.2,87339,3,12,25,2867,1,1,0,0
6337,2000,,18997.05,219120,2,15,42,2496,0,0,0,1
891,1998,,69566.84,692539,1,12,38,2080,1,0,1,0
5746,1994,,26482.5,109527,5,12,29,2045,0,1,0,0
1601,2008,,311858.6,569179,4,16,46,2704,1,1,1,0
740,1996,,28778.72,579757,2,14,33,2444,0,0,1,0
3134,1988,,22125.66,767225,3,12,29,1960,0,0,1,0
2481,1996,,13902.76,680743,5,8,37,1704,1,1,1,0
862,1988,,9219.023,610147,4,11,29,675,0,1,1,0
960,2006,,162292.7,711896,4,15,45,3120,1,1,1,0
960,2008,,151966.5,667615,4,15,47,3120,1,1,1,0
582,2002,,52134.46,856957,2,16,43,3120,0,0,1,0
2151,1996,,87587.42,583046,2,13,33,2860,1,1,1,0
920,2000,,119048.2,528608,1,16,38,2340,1,0,1,0
1142,2012,,128226.4,224267,2,16,54,2615,1,1,0,0
3848,1989,,54544.51,487933,3,16,29,2370,1,1,1,0
32,1993,,45283.13,135994,2,18,35,2600,0,1,0,0
7077,2000,,40527.04,145252,4,12,42,2600,0,0,0,1
1005,1994,,20597.5,680482,3,12,35,1696,0,0,1,0
3645,1990,,123982.8,704792,4,13,31,2690,1,1,1,0
8621,2004,,18470.45,226854,3,12,45,2400,1,1,0,1
883,2006,,32458.55,708282,1,15,41,2080,0,0,1,0
941,2012,,47491.25,932559,5,13,54,520,1,1,1,0
872,2014,26716.53262,341155.4,845953,2,16,55,2860,1,1,1,0
10352,1990,,58417.09,112048,3,14,27,2568,1,1,1,0
9387,1998,,62877.72,103077,4,12,35,3120,1,1,0,0
5540,1992,,48182.26,525096,3,14,29,2730,1,1,1,0
4822,1986,,19880.76,544480,1,12,28,2138,0,0,1,0
988,1986,,11928.45,149797,2,12,26,1560,0,0,0,1
9,2010,,52000,858402,4,14,46,2600,1,1,1,0
779,1996,,20854.15,675878,2,14,32,2200,0,0,1,0
9876,1996,,93148.52,127660,4,13,39,3380,1,1,0,0
6544,1985,,46614.76,112367,5,16,26,2496,1,1,1,0
171,1989,,43987.51,559836,2,16,27,2080,1,1,1,0
7420,1989,,48562.21,195489,4,13,30,2340,0,1,1,0
9400,1989,,33430.51,65568,3,15,31,3851,1,1,1,0
3886,2002,6062.14608,115180.8,582242,4,17,38,2340,1,1,1,0
3205,1989,,35190.01,773988,1,16,25,2800,0,0,1,0
285,1989,,23225.4,101681,4,10,28,1636,0,1,0,0
11851,2006,,86556.13,735480,1,14,47,2340,0,0,1,0
1857,1993,,33207.63,875808,1,12,35,2080,1,0,1,0
503,2002,,23036.15,522532,5,12,41,2860,0,1,1,0
934,1990,,38388.37,715176,3,16,33,2582,1,1,1,0
141,2002,1212.429216,64258.75,551250,1,18,39,2600,0,0,1,0
671,2004,,8080.822,194265,6,16,42,3960,1,1,0,1
8560,1990,,25202.8,262611,4,12,26,2580,1,0,0,1
960,1989,,52785.01,563767,1,15,28,2062,1,0,1,0
2964,2008,,75983.26,667065,4,16,47,2184,0,1,1,0
3750,1989,,24633.01,476939,5,12,26,2539,1,0,1,0
2938,1996,,18073.59,584472,3,13,34,780,0,1,1,0
8908,1996,,29195.81,103184,3,12,36,3180,1,1,0,0
4932,1998,,34783.42,780531,4,12,40,2600,1,1,1,0
6931,2004,,23088.06,345904,2,12,46,3120,0,0,0,0
1005,1993,,22641.56,666137,3,12,34,1464,0,0,1,0
3086,1996,,104270.7,750666,4,16,32,2340,1,1,1,0
11963,2014,,341155.4,1166640,4,16,50,2080,1,1,1,0
5751,1986,,27833.06,86358,1,12,27,2080,0,0,0,0
686,1990,,31712.13,531053,1,18,27,1160,1,0,1,0
5223,1990,,38388.37,581544,3,12,31,2511,1,1,1,0
10549,2000,,5623.127,118629,1,16,39,1240,0,0,0,1
9847,2002,,84870.05,100052,1,19,38,2340,1,0,0,0
4244,2012,,150042,685633,5,18,51,3120,1,1,1,0
6750,1986,,25844.98,117496,1,16,25,1160,0,0,0,1
3214,1992,,35748.13,593549,2,12,28,2860,1,1,1,0
1855,1987,,29750.63,738984,2,11,26,2303,1,0,1,0
3278,1994,,100045,576540,3,19,36,2259,0,1,1,0
1093,2002,,50922.03,748430,5,16,41,2704,0,1,1,0
779,1992,,46627.99,642991,5,14,28,2876,0,1,1,0
9783,1989,,36773.56,101527,4,12,26,2302,1,0,0,0
772,1990,,61755.21,964624,1,12,30,3272,1,0,1,0
570,1992,,38856.66,739984,3,12,28,3120,1,1,1,0
5039,2006,2163.903137,86556.13,658014,3,18,42,2600,1,1,1,0
3762,1992,,38856.66,501470,4,12,30,2511,1,1,1,0
269,2008,25327.75294,311858.6,815977,6,16,48,2340,1,1,1,0
3196,1991,,67264.41,770264,1,12,32,3310,1,0,1,0
813,1987,,15355.17,762017,1,20,27,1320,1,0,1,0
223,1998,,60202.07,262035,10,9,35,2080,1,0,0,1
1473,1988,,105325.5,679875,5,12,27,2646,1,0,1,0
3380,2014,,82913.38,735372,2,14,54,2652,1,1,1,0
2032,2000,,35461.16,627305,3,12,35,3005,1,0,1,0
2088,1996,,30586.08,514161,4,14,34,2660,0,1,1,0
3974,2002,,33948.02,316311,3,13,42,4912,1,0,0,1
3984,1996,,100099.9,887484,2,16,36,3640,1,1,1,0
566,1992,,34349.29,564325,1,12,31,1826,0,0,1,0
2285,2012,949.8249552,94982.49,920165,3,20,55,2184,0,1,1,0
2400,1990,,23033.02,486844,1,12,27,1945,0,0,1,0
1229,2008,,73957.04,674888,2,12,46,2080,1,1,1,0
2187,1992,,43519.46,586995,3,13,30,2700,1,0,1,0
